127.0.0.1 - - [18/Jul/2017:16:54:44 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:45 +0900] "GET /Tiramisu/index.jsp HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/css/font-awesome.css HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/css/style.css HTTP/1.1" 200 89868
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/Chart.min.js HTTP/1.1" 200 52091
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/css/search.css HTTP/1.1" 200 4729
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/chartinator.js HTTP/1.1" 200 52214
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/skycons.js HTTP/1.1" 200 16846
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/scripts.js HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/jquery.nicescroll.js HTTP/1.1" 200 59364
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/lib/modernizr/modernizr-custom.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/left-frame.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/header-logout-frame.html HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/images/files.png HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/images/Tiramisu.png HTTP/1.1" 200 205863
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/images/plus_white.png HTTP/1.1" 200 21545
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/images/chart.png HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/images/chat.png HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:46 +0900] "GET /Tiramisu/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:56 +0900] "GET /Tiramisu/index.jsp HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:56 +0900] "GET /Tiramisu/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:56 +0900] "GET /Tiramisu/js/chartinator.js HTTP/1.1" 200 52214
0:0:0:0:0:0:0:1 - - [18/Jul/2017:16:54:56 +0900] "GET /Tiramisu/js/skycons.js HTTP/1.1" 200 16846
